datetime,code,open,close,high,low,vol,amount
2018/1/11 15:00,300,4204.07,4205.59,4205.84,4203.54,453438.4,4534386688
2018/1/11 14:55,300,4204.72,4204.14,4205.09,4204.06,407387.88,4073881600
2018/1/11 14:50,300,4204.25,4204.4,4205.37,4204.16,343542.72,3435429888
2018/1/11 14:45,300,4205.77,4204.24,4205.93,4203.91,352571.88,3525722112
2018/1/11 14:40,300,4202.12,4205.72,4206.3,4202.12,318676.7,3186769920
2018/1/11 14:35,300,4201,4201.81,4202.39,4200.87,249918,2499182592
2018/1/11 14:30,300,4199.43,4200.5,4200.95,4198.66,276487.9,2764881920
2018/1/11 14:25,300,4205.58,4199.47,4206.64,4199.47,295920.96,2959212544
2018/1/11 14:20,300,4207.39,4205.75,4207.8,4205.55,241000.16,2410004480
2018/1/11 14:15,300,4208.97,4207.17,4209.1,4207.01,236379.88,2363801600
2018/1/11 14:10,300,4209.73,4208.96,4210.15,4208.85,275738.32,2757386240
2018/1/11 14:05,300,4206.93,4209.44,4210.51,4206.93,313134.84,3131351040
2018/1/11 14:00,300,4201.19,4206.56,4206.75,4200.62,304247.3,3042476032
2018/1/11 13:55,300,4200.8,4201.09,4202.07,4200.76,267954.32,2679545856
2018/1/11 13:50,300,4200.15,4200.88,4201.38,4199.62,320690.32,3206905856
2018/1/11 13:45,300,4194.85,4199.97,4200.38,4194.85,306602.52,3066028032
2018/1/11 13:40,300,4195.07,4195.06,4195.44,4193.99,264641.48,2646417408
2018/1/11 13:35,300,4194.11,4195.21,4197,4193.88,319536.88,3195371520
2018/1/11 13:30,300,4192,4193.73,4194.1,4191.37,258259.08,2582593536
2018/1/11 13:25,300,4195.8,4192.04,4196,4191.67,243737.1,2437373952
2018/1/11 13:20,300,4198.62,4195.88,4198.62,4195.57,221077.22,2210775040
2018/1/11 13:15,300,4199.55,4198.39,4200.19,4197.78,213443.92,2134441984
2018/1/11 13:10,300,4195.29,4199.19,4199.34,4195.19,175080.8,1750810624
2018/1/11 13:05,300,4197.07,4195.6,4197.39,4194.31,175290.48,1752907776
2018/1/11 11:30,300,4187.23,4196.44,4196.44,4186.57,246077.52,2460778496
2018/1/11 11:25,300,4187.2,4187.25,4187.69,4185.08,192569.08,1925693440
2018/1/11 11:20,300,4188.43,4187.13,4189.26,4186.97,178133.94,1781342208
2018/1/11 11:15,300,4191.21,4188.32,4191.74,4188.32,182691.16,1826914304
2018/1/11 11:10,300,4187.4,4191.15,4191.85,4187.4,217612.84,2176131072
2018/1/11 11:05,300,4185.12,4187.43,4188.15,4185.12,243770.72,2437709824
2018/1/11 11:00,300,4183.7,4184.58,4184.76,4182.06,314336.56,3143368704
2018/1/11 10:55,300,4186.48,4183.36,4186.92,4183.29,364343.04,3643432960
2018/1/11 10:50,300,4191.29,4187.26,4191.85,4186.46,359489.24,3594895360
2018/1/11 10:45,300,4193.6,4191.81,4194.61,4190.48,366091.16,3660914688
2018/1/11 10:40,300,4190.77,4193.52,4194.51,4190.77,325890.54,3258908672
2018/1/11 10:35,300,4190.11,4190.71,4190.71,4186.4,361758.4,3617587200
2018/1/11 10:30,300,4197.56,4189.62,4197.72,4189.25,420379.92,4203802624
2018/1/11 10:25,300,4197.27,4197.91,4201.13,4197.27,427579.08,4275793920
2018/1/11 10:20,300,4198.41,4197.56,4199.46,4197.14,394691.48,3946917888
2018/1/11 10:15,300,4194.82,4198.56,4198.84,4194.2,408791.96,4087922688
2018/1/11 10:10,300,4194.45,4194.16,4197.15,4192.62,444768,4447682560
2018/1/11 10:05,300,4207.03,4194.71,4207.03,4194.12,592901.04,5929013248
2018/1/11 10:00,300,4205.72,4207.49,4211.59,4205.72,626207.68,6262079488
2018/1/11 9:55,300,4209.06,4205.68,4210.78,4205.02,614500.08,6145003520
2018/1/11 9:50,300,4196.94,4208.72,4209.15,4196.94,631363.32,6313635840
2018/1/11 9:45,300,4196.12,4196.39,4197.35,4193.71,629825.32,6298256384
2018/1/11 9:40,300,4188.48,4195.68,4195.68,4188.14,695380.48,6953807872
